Babich 16 Fácil
David 21 Fácil
Neymar 21 Fácil
Daniel 23 Fácil
Diego 23 Fácil
Jorge 23 Fácil
Luis 24 Fácil
Matty 25 Fácil
Diego 31 Fácil
Daniel 323 Fácil
Diego 20 Intermedio
Jorge 37 Intermedio
David 41 Intermedio
Matty 42 Intermedio
Neymar 43 Intermedio
Matt 59 Intermedio
Luis 61 Intermedio
N N N
N N N
N N N
Jorge 44 Difícil
Neymar 92 Difícil
Matt 106 Difícil
David 126 Difícil
Peter 153 Difícil
Gilberto 201 Difícil
Luis 211 Difícil
N N N
N N N
N N N
Wakanda 64 Fácil
Daniel 90 Fácil
Daniel 150 Fácil
Diego 162 Fácil
Canguro 177 Fácil
Gold 195 Fácil
Santa 224 Fácil
Wakanda 254 Fácil
Albert 287 Fácil
Tomas 290 Fácil
Wakanda 69 Intermedio
Daniel 101 Intermedio
Keysher 122 Intermedio
Gold 146 Intermedio
Silver 177 Intermedio
Ghost 182 Intermedio
Clank 184 Intermedio
MasterChief 195 Intermedio
Vader 211 Intermedio
Luke 223 Intermedio
Wakanda 73 Difícil
Daniel 305 Difícil
Ratchet 350 Difícil
Kratos 433 Difícil
TomBombadil 461 Difícil
Namor 477 Difícil
NoobMaster 1037 Difícil
N N N
N N N
N N N
Neo 204 Fácil
Manha 210 Fácil
Blackbird 215 Fácil
Yesterday 222 Fácil
SrgtPepper 230 Fácil
Paul 255 Fácil
John 273 Fácil
George 283 Fácil
Ringo 299 Fácil
Bub 311 Fácil
Cosmo 256 Intermedio
N N N
N N N
N N N
N N N
N N N
N N N
N N N
N N N
N N N
Dragon 410 Difícil
N N N
N N N
N N N
N N N
N N N
N N N
N N N
N N N
N N N
Degate 444 Fácil
N N N
N N N
N N N
N N N
N N N
N N N
N N N
N N N
N N N
Deadpool 475 Intermedio
N N N
N N N
N N N
N N N
N N N
N N N
N N N
N N N
N N N
Wolffe 603 Difícil
N N N
N N N
N N N
N N N
N N N
N N N
N N N
N N N
N N N
Chopin 777 Fácil
N N N
N N N
N N N
N N N
N N N
N N N
N N N
N N N
N N N
Liszt 812 Intermedio
N N N
N N N
N N N
N N N
N N N
N N N
N N N
N N N
N N N
Ravel 1023 Difícil
N N N
N N N
N N N
N N N
N N N
N N N
N N N
N N N
N N N
